iter	RMSE
0	0.8841740344
1	0.8687650038
2	0.8537119652
3	0.8390535908
4	0.824386843
5	0.8089371863
6	0.7934439165
7	0.7800006123
8	0.767611681
9	0.756462563
10	0.7434584264
11	0.7306141289
12	0.7199433896
13	0.707711675
14	0.6963909571
15	0.6881589229
16	0.6796189528
17	0.6684765012
18	0.6583999308
19	0.6488371197
20	0.6382344965
21	0.6309537762
22	0.6231104037
23	0.6153204956
24	0.6069074438
25	0.5992316689
26	0.5928967837
27	0.5857765222
28	0.5779961007
29	0.5713377044
30	0.5654019293
31	0.5595928578
32	0.5531766283
33	0.5462816766
34	0.5397933885
35	0.5345398444
36	0.5288618082
37	0.5239224439
38	0.5186023377
39	0.5137803712
40	0.5083138298
41	0.5029859953
42	0.4981660771
43	0.4934807271
44	0.488053653
45	0.4842149798
46	0.4796556703
47	0.475070813
48	0.4711304776
49	0.4672712177
50	0.463800105
51	0.459705859
52	0.4561023729
53	0.4528289305
54	0.4504951746
55	0.4468074726
56	0.4431411351
57	0.4398691423
58	0.4361290818
59	0.433167521
60	0.4306821852
61	0.4283587034
62	0.4252116812
63	0.422812442
64	0.4196770683
65	0.4173489534
66	0.4147599303
67	0.4130133096
68	0.4101139041
69	0.4084903133
70	0.4058655088
71	0.4034835661
72	0.4012631347
73	0.3985367981
74	0.3965767383
75	0.3942947082
76	0.3927785752
77	0.3903598112
78	0.3874962026
79	0.385376872
80	0.3835313444
81	0.3809242895
82	0.3782579243
83	0.3764447701
84	0.3746723815
85	0.3730346388
86	0.3708253259
87	0.3700443989
88	0.3686366221
89	0.3674161414
90	0.3661854098
91	0.3646515504
92	0.362801343
93	0.3615578462
94	0.360346142
95	0.3588483028
96	0.3574759557
97	0.3567904953
98	0.3551693116
99	0.3540735536
100	0.3532408125
101	0.3516439591
102	0.3501867111
103	0.3489646699
104	0.347167687
105	0.3458674797
106	0.3440213494
107	0.3429852773
108	0.3422847195
109	0.3400219693
110	0.3387005514
111	0.3372129165
112	0.3360885274
113	0.3347174022
114	0.3335237338
115	0.3327984918
116	0.3319233645
117	0.3308470854
118	0.3294885152
119	0.3283180511
120	0.3266606706
121	0.325832497
122	0.3248603602
123	0.3238866558
124	0.3229401904
