iter	Passed	Remaining
0	5	5659
1	10	5308
2	16	5554
3	22	5677
4	29	5814
5	35	5899
6	41	5939
7	47	5935
8	53	5889
9	60	5974
10	66	5996
11	72	5975
12	78	5958
13	84	5920
14	89	5887
15	95	5847
16	100	5785
17	104	5709
18	109	5631
19	113	5576
20	118	5543
21	123	5496
22	128	5447
23	151	6152
24	159	6229
25	169	6341
26	180	6508
27	193	6704
28	202	6763
29	209	6780
30	216	6760
31	222	6737
32	228	6690
33	234	6656
34	239	6592
35	243	6527
36	248	6462
37	252	6400
38	257	6346
39	262	6299
40	269	6302
41	276	6310
42	283	6299
43	288	6260
44	292	6214
45	298	6186
46	304	6172
47	309	6134
48	314	6113
49	322	6136
50	327	6095
51	332	6067
52	338	6056
53	344	6031
54	349	6001
55	353	5964
56	358	5935
57	364	5923
58	370	5915
59	378	5924
60	384	5925
61	390	5911
62	398	5923
63	405	5924
64	411	5914
65	417	5910
66	422	5881
67	428	5868
68	432	5836
69	437	5806
70	441	5777
71	446	5750
72	450	5723
73	456	5707
74	463	5715
75	469	5702
76	475	5698
77	480	5678
78	485	5656
79	491	5655
80	498	5655
81	503	5637
82	508	5618
83	512	5594
84	518	5580
85	524	5574
86	529	5560
87	534	5539
88	539	5526
89	544	5505
90	549	5485
91	555	5479
92	562	5484
93	568	5476
94	574	5473
95	579	5459
96	585	5445
97	591	5446
98	597	5441
99	603	5430
100	608	5413
101	612	5394
102	619	5394
103	624	5379
104	628	5361
105	633	5344
106	638	5326
107	642	5309
108	647	5295
109	654	5296
110	660	5292
111	666	5287
112	672	5277
113	677	5264
114	684	5268
115	690	5261
116	696	5255
117	701	5244
118	706	5227
119	710	5212
120	717	5215
121	722	5201
122	728	5192
123	733	5183
124	738	5167
125	743	5155
126	749	5150
127	755	5149
128	762	5146
129	767	5135
130	772	5125
131	779	5128
132	787	5132
133	794	5135
134	800	5129
135	806	5121
136	813	5125
137	820	5125
138	826	5120
139	831	5108
140	836	5098
141	842	5091
142	848	5085
143	854	5078
144	860	5073
145	866	5069
146	873	5069
147	879	5063
148	884	5052
149	891	5050
150	897	5043
151	902	5033
152	908	5027
153	914	5021
154	919	5012
155	924	5000
156	928	4987
157	933	4973
158	938	4965
159	943	4955
160	950	4951
161	956	4946
162	961	4934
163	965	4924
164	972	4923
165	980	4926
166	987	4924
167	992	4913
168	997	4902
169	1002	4893
170	1008	4886
171	1013	4879
172	1019	4871
173	1023	4858
174	1028	4847
175	1033	4840
176	1039	4835
177	1045	4826
178	1051	4821
179	1057	4816
180	1062	4806
181	1068	4802
182	1074	4798
183	1080	4790
184	1085	4782
185	1090	4773
186	1096	4767
187	1101	4757
188	1107	4752
189	1113	4748
190	1118	4739
191	1123	4727
192	1128	4718
193	1134	4712
194	1139	4705
195	1145	4700
196	1151	4692
197	1156	4682
198	1162	4678
199	1168	4673
200	1173	4666
201	1179	4659
202	1184	4650
203	1189	4641
204	1206	4677
205	1212	4672
206	1217	4662
207	1221	4651
208	1227	4647
209	1233	4639
210	1238	4629
211	1243	4621
212	1248	4611
213	1253	4602
214	1261	4606
215	1268	4604
216	1274	4600
217	1280	4594
218	1285	4585
219	1292	4581
220	1298	4576
221	1303	4569
222	1310	4564
223	1315	4558
224	1322	4555
225	1327	4545
226	1331	4535
227	1338	4530
228	1342	4521
229	1348	4515
230	1356	4515
231	1362	4509
232	1369	4507
233	1374	4500
234	1379	4491
235	1384	4483
236	1390	4477
237	1395	4469
238	1400	4460
239	1405	4450
240	1410	4441
241	1414	4431
242	1420	4424
243	1425	4416
244	1430	4407
245	1435	4399
246	1439	4389
247	1444	4379
248	1450	4373
249	1454	4364
250	1460	4357
251	1465	4350
252	1470	4342
253	1475	4333
254	1481	4328
255	1487	4322
256	1493	4317
257	1498	4310
258	1504	4303
259	1508	4294
260	1515	4289
261	1519	4280
262	1523	4270
263	1528	4262
264	1533	4253
265	1538	4244
266	1542	4235
267	1549	4231
268	1554	4223
269	1558	4213
270	1563	4206
271	1568	4198
272	1573	4190
273	1578	4182
274	1583	4174
275	1588	4166
276	1593	4158
277	1598	4150
278	1602	4141
279	1607	4134
280	1612	4126
281	1616	4116
282	1621	4108
283	1626	4100
284	1630	4091
285	1636	4085
286	1643	4082
287	1648	4076
288	1654	4069
289	1659	4062
290	1664	4055
291	1669	4047
292	1674	4041
293	1681	4036
294	1687	4032
295	1693	4026
296	1697	4019
297	1702	4010
298	1713	4016
299	1718	4008
300	1723	4002
301	1727	3993
302	1732	3985
303	1737	3979
304	1744	3974
305	1750	3969
306	1754	3961
307	1759	3954
308	1765	3947
309	1772	3944
310	1777	3938
311	1784	3935
312	1789	3928
313	1794	3920
314	1799	3913
315	1805	3908
316	1811	3902
317	1817	3898
318	1822	3889
319	1826	3881
320	1831	3874
321	1837	3868
322	1843	3863
323	1849	3858
324	1854	3851
325	1859	3844
326	1865	3840
327	1871	3834
328	1877	3829
329	1899	3857
330	1905	3850
331	1911	3845
332	1916	3838
333	1921	3831
334	1927	3826
335	1933	3821
336	1939	3816
337	1945	3810
338	1950	3803
339	1969	3823
340	1973	3814
341	1978	3805
342	1983	3798
343	1987	3790
344	1992	3783
345	1998	3777
346	2003	3769
347	2008	3763
348	2014	3756
349	2018	3749
350	2023	3741
351	2028	3733
352	2032	3726
353	2037	3718
354	2042	3711
355	2048	3705
356	2052	3697
357	2057	3689
358	2062	3682
359	2067	3676
360	2072	3669
361	2077	3661
362	2082	3653
363	2087	3647
364	2092	3640
365	2097	3633
366	2102	3625
367	2106	3618
368	2112	3611
369	2117	3604
370	2121	3597
371	2126	3589
372	2130	3581
373	2135	3573
374	2140	3567
375	2145	3560
376	2150	3554
377	2155	3547
378	2160	3540
379	2166	3534
380	2171	3528
381	2176	3520
382	2182	3516
383	2189	3512
384	2195	3507
385	2201	3501
386	2205	3494
387	2211	3488
388	2216	3481
389	2222	3475
390	2227	3469
391	2232	3462
392	2237	3456
393	2242	3449
394	2249	3444
395	2255	3440
396	2261	3434
397	2266	3428
398	2271	3421
399	2276	3414
400	2282	3408
401	2288	3403
402	2293	3397
403	2299	3392
404	2304	3385
405	2310	3379
406	2316	3374
407	2322	3369
408	2327	3362
409	2332	3356
410	2337	3349
411	2342	3342
412	2347	3336
413	2352	3330
414	2359	3325
415	2364	3319
416	2369	3312
417	2374	3305
418	2380	3301
419	2386	3295
420	2392	3290
421	2397	3284
422	2402	3276
423	2407	3270
424	2412	3264
425	2417	3256
426	2421	3249
427	2426	3242
428	2430	3235
429	2435	3228
430	2441	3223
431	2447	3218
432	2452	3211
433	2457	3205
434	2463	3199
435	2467	3192
436	2473	3186
437	2480	3182
438	2485	3176
439	2491	3170
440	2495	3163
441	2499	3155
442	2505	3150
